key	EN	RU	DE
match_elements.vector_status_disconnected_fallback	You can still proceed now: matching automatically falls back to lexical (keyword) and rule-based scoring while the vector DB is offline.	Можно продолжить и сейчас: при отключённой векторной БД сопоставление автоматически переходит на лексический (по ключевым словам) и правиловый скоринг.	Sie können trotzdem fortfahren: Das Matching fällt automatisch auf lexikalische (Stichwort-) und regelbasierte Bewertung zurück, solange die Vektor-DB offline ist.
match_elements.vector_status_retry	Retry connection	Повторить подключение	Verbindung erneut versuchen
match_elements.vector_status_open_costs_long	Open cost-database tools	Открыть инструменты базы расценок	Werkzeuge der Kostendatenbank öffnen
match_elements.pipeline.title	Match pipeline	Пайплайн сопоставления	Match-Pipeline
match_elements.pipeline.subtitle	Seven steps from CAD file to priced BoQ — every step is visible and tunable	Семь шагов от CAD-файла до оценённой ВОР — каждый шаг виден и настраивается	Sieben Schritte von der CAD-Datei zum bepreisten LV — jeder Schritt sichtbar und justierbar
match_elements.pipeline.done_suffix	done	готово	erledigt
match_elements.pipeline.run_all	Run all stages	Выполнить все этапы	Alle Stufen ausführen
match_elements.pipeline.running_all	Running all…	Выполняем все…	Alle werden ausgeführt…
match_elements.pipeline.loading	Loading pipeline…	Загружаем пайплайн…	Pipeline wird geladen…
match_elements.pipeline.load_failed	Could not load the pipeline.	Не удалось загрузить пайплайн.	Pipeline konnte nicht geladen werden.
match_elements.pipeline.loading_prompts	Loading prompts…	Загружаем промпты…	Prompts werden geladen…
match_elements.pipeline.run	Run	Выполнить	Ausführen
match_elements.pipeline.rerun	Re-run	Перезапустить	Erneut ausführen
match_elements.pipeline.adjust	Adjust	Настроить	Anpassen
match_elements.pipeline.adjust_stage	Adjust stage	Настроить этап	Stufe anpassen
match_elements.pipeline.rerun_from_here	Re-run from here	Перезапустить с этого шага	Ab hier erneut ausführen
match_elements.pipeline.status_pending	Not run	Не выполнен	Nicht ausgeführt
match_elements.pipeline.status_running	Running	Выполняется	Wird ausgeführt
match_elements.pipeline.status_done	Done	Готово	Erledigt
match_elements.pipeline.status_error	Error	Ошибка	Fehler
match_elements.pipeline.status_stale	Needs re-run	Нужен перезапуск	Erneut ausführen
match_elements.pipeline.status_skipped	Skipped	Пропущен	Übersprungen
match_elements.pipeline.stale_hint	An earlier stage changed — re-run this step to refresh its output.	Один из предыдущих этапов изменился — перезапустите этот шаг, чтобы обновить результат.	Eine frühere Stufe hat sich geändert — führen Sie diesen Schritt erneut aus, um die Ausgabe zu aktualisieren.
match_elements.pipeline.llm_badge	LLM	LLM	LLM
match_elements.pipeline.llm_tunable	LLM-augmented — prompt is editable	LLM-усиленный — промпт редактируется	LLM-gestützt — Prompt ist editierbar
match_elements.pipeline.group_by	Group by keys	Группировать по ключам	Nach Schlüsseln gruppieren
match_elements.pipeline.group_by_hint	Comma-separated. RVT → category, type_name · IFC → ifc_class, predefined_type · DWG → layer, block_name	Через запятую. RVT → category, type_name · IFC → ifc_class, predefined_type · DWG → layer, block_name	Komma-getrennt. RVT → category, type_name · IFC → ifc_class, predefined_type · DWG → layer, block_name
match_elements.pipeline.method	Method	Метод	Methode
match_elements.pipeline.max_groups	Max groups	Макс. групп	Max. Gruppen
match_elements.pipeline.llm_provider	LLM provider	Провайдер LLM	LLM-Anbieter
match_elements.pipeline.prompt	Prompt	Промпт	Prompt
match_elements.pipeline.system	system	system	System
match_elements.pipeline.system_readonly	System prompt — read-only. Fork it to edit and tune for your company.	Системный промпт — только чтение. Форкните его, чтобы редактировать и настроить под свою компанию.	System-Prompt — schreibgeschützt. Forken Sie ihn, um ihn zu bearbeiten und für Ihr Unternehmen anzupassen.
match_elements.pipeline.system_prompt	System prompt	Системный промпт	System-Prompt
match_elements.pipeline.user_template	User template	Пользовательский шаблон	Benutzer-Vorlage
match_elements.pipeline.variables	Variables the stage fills:	Переменные, которые заполняет этап:	Variablen, die die Stufe füllt:
match_elements.pipeline.fork	Fork to edit	Форкнуть для редактирования	Zum Bearbeiten forken
match_elements.pipeline.duplicate	Duplicate	Дублировать	Duplizieren
match_elements.pipeline.save_prompt	Save prompt	Сохранить промпт	Prompt speichern
match_elements.pipeline.revert	Revert	Откатить	Zurücksetzen
match_elements.pipeline.run_failed	Stage run failed	Этап завершился с ошибкой	Stufenausführung fehlgeschlagen
match_elements.pipeline.intro_title	Open the visible match pipeline	Открыть видимый пайплайн сопоставления	Sichtbare Match-Pipeline öffnen
match_elements.pipeline.intro_blurb	Seven steps from CAD file to priced BoQ — Convert, Load, Schema, Filter, Group, Match, Rollup. Every step is visible, explained, and tunable (prompts, LLM provider, group keys).	Семь шагов от CAD-файла до оценённой ВОР — Конвертация, Загрузка, Схема, Фильтр, Группировка, Сопоставление, Сворачивание. Каждый шаг виден, описан и настраивается (промпты, LLM-провайдер, ключи группировки).	Sieben Schritte von der CAD-Datei zum bepreisten LV — Konvertieren, Laden, Schema, Filter, Gruppieren, Match, Rollup. Jeder Schritt ist sichtbar, erklärt und justierbar (Prompts, LLM-Anbieter, Gruppierungsschlüssel).
match_elements.pipeline.intro_cta	Open the pipeline	Открыть пайплайн	Pipeline öffnen
match_elements.pipeline.intro_resume	Resume last session	Продолжить последнюю сессию	Letzte Sitzung fortsetzen
match_elements.pipeline.busy_hint	A stage is running — wait for it to finish before starting another.	Один из этапов выполняется — дождитесь его завершения, прежде чем запустить другой.	Eine Stufe wird ausgeführt — bitte warten, bevor Sie eine andere starten.
match_elements.pipeline.step_convert	Convert	Конвертация	Konvertieren
match_elements.pipeline.step_load	Load	Загрузка	Laden
match_elements.pipeline.step_schema	Schema	Схема	Schema
match_elements.pipeline.step_filter	Filter	Фильтр	Filter
match_elements.pipeline.step_group	Group	Группировка	Gruppieren
match_elements.pipeline.step_match	Match	Сопоставление	Match
match_elements.pipeline.step_rollup	Rollup	Сворачивание	Rollup
clash.title	Clash Detection	Поиск коллизий	Kollisionsprüfung
clash.subtitle	Geometric interference & clearance coordination across federated BIM models — with a clash matrix and BCF export.	Геометрические пересечения и проверка зазоров по федеративным BIM-моделям — с матрицей коллизий и экспортом в BCF.	Geometrische Überschneidungs- und Abstandsprüfung über föderierte BIM-Modelle — mit Kollisionsmatrix und BCF-Export.
clash.pick_project	Select a project	Выберите проект	Projekt auswählen
clash.new_run	New clash run	Новый прогон	Neue Kollisionsprüfung
clash.models	Models	Модели	Modelle
clash.no_models	No parsed BIM models in this project.	В проекте нет распарсенных BIM-моделей.	Keine geparsten BIM-Modelle in diesem Projekt.
clash.tolerance	Tolerance (mm)	Допуск (мм)	Toleranz (mm)
clash.clearance	Clearance (mm)	Зазор (мм)	Mindestabstand (mm)
clash.mode	Test scope	Область проверки	Prüfumfang
clash.mode_cross	Cross-discipline only	Только между дисциплинами	Nur fachübergreifend
clash.mode_all	Every pair	Все пары	Jedes Paar
clash.mode_sets	Set A vs Set B (by type)	Набор A против набора B (по типу)	Set A vs. Set B (nach Typ)
clash.sets_hint	Only pairs where one element is in Set A and the other in Set B are tested — e.g. all Walls (A) against all Pipes (B).	Проверяются только пары, где один элемент в наборе A, а другой в наборе B — например, все стены (A) против всех труб (B).	Nur Paare werden geprüft, bei denen ein Element in Set A und das andere in Set B liegt — z. B. alle Wände (A) gegen alle Rohrleitungen (B).
clash.set_a	Set A	Набор A	Set A
clash.set_b	Set B	Набор B	Set B
clash.sets_required	Pick at least one type or discipline for both Set A and Set B.	Выберите хотя бы один тип или дисциплину для наборов A и B.	Wählen Sie mindestens einen Typ oder ein Fach für Set A und Set B.
clash.set_search	Search types / disciplines…	Поиск типов / дисциплин…	Typen / Fächer suchen…
clash.set_empty	No elements — select a parsed model first.	Нет элементов — сначала выберите распарсенную модель.	Keine Elemente — wählen Sie zuerst ein geparstes Modell.
clash.disciplines	Disciplines	Дисциплины	Fachgewerke
clash.element_types	Element types	Типы элементов	Elementtypen
clash.run	Run clash detection	Запустить поиск коллизий	Kollisionsprüfung starten
clash.history	Run history	История прогонов	Lauf-Historie
clash.no_runs	No runs yet.	Прогонов ещё нет.	Noch keine Läufe.
clash.run_failed	Clash run failed	Прогон коллизий не удался	Kollisionsprüfung fehlgeschlagen
clash.run_done	{{n}} clashes found across {{e}} elements	Найдено {{n}} коллизий в {{e}} элементах	{{n}} Kollisionen in {{e}} Elementen gefunden
clash.status_failed	Could not update status	Не удалось обновить статус	Status konnte nicht aktualisiert werden
clash.status_saved	Status updated	Статус обновлён	Status aktualisiert
clash.bcf_done	Exported {{n}} clash(es) to BCF ({{s}} skipped)	Экспортировано {{n}} коллизий в BCF (пропущено: {{s}})	{{n}} Kollision(en) nach BCF exportiert ({{s}} übersprungen)
clash.empty_title	No clash run selected	Прогон коллизий не выбран	Keine Kollisionsprüfung ausgewählt
clash.empty_desc	Pick the BIM models on the left and run clash detection to build the coordination matrix.	Выберите BIM-модели слева и запустите поиск коллизий, чтобы построить матрицу координации.	Wählen Sie links die BIM-Modelle aus und starten Sie die Kollisionsprüfung, um die Koordinationsmatrix zu erstellen.
clash.kpi_total	Total clashes	Всего коллизий	Kollisionen gesamt
clash.kpi_hard	Hard	Жёстких	Hart
clash.kpi_clearance	Clearance	По зазору	Mindestabstand
clash.kpi_open	Open	Открытых	Offen
clash.kpi_resolved	Resolved	Устранённых	Behoben
clash.kpi_disciplines	Disciplines	Дисциплин	Fachgewerke
clash.kpi_matrix_cells	Matrix cells	Ячеек матрицы	Matrixzellen
clash.matrix_title	Clash matrix — discipline × discipline	Матрица коллизий — дисциплина × дисциплина	Kollisionsmatrix — Fach × Fach
clash.matrix_open	{{n}} open	{{n}} открытых	{{n}} offen
clash.clear_filter	Clear filter	Сбросить фильтр	Filter löschen
clash.no_clashes	No clashes — the models are clean.	Коллизий нет — модели чисты.	Keine Kollisionen — die Modelle sind sauber.
clash.no_clashes_title	No clashes detected	Коллизии не обнаружены	Keine Kollisionen erkannt
clash.no_match_title	No clashes match the filters	Под фильтр не попало ни одной коллизии	Keine Kollisionen entsprechen den Filtern
clash.no_match_desc	Try widening or clearing the active filters.	Расширьте или сбросьте активные фильтры.	Erweitern oder entfernen Sie die aktiven Filter.
clash.results_error	Failed to load clash results	Не удалось загрузить результаты коллизий	Kollisionsergebnisse konnten nicht geladen werden
clash.results_error_desc	The clash results could not be loaded. This does not mean the models are clean — please retry.	Результаты коллизий не загрузились. Это не значит, что модели чисты — попробуйте снова.	Die Kollisionsergebnisse konnten nicht geladen werden. Das bedeutet nicht, dass die Modelle sauber sind — bitte erneut versuchen.
clash.retry	Retry	Повторить	Erneut versuchen
clash.capped_notice	Showing the first {{loaded}} of {{total}} clashes — refine the filters to narrow the review set.	Показаны первые {{loaded}} из {{total}} коллизий — уточните фильтры, чтобы сузить набор.	Zeigt die ersten {{loaded}} von {{total}} Kollisionen — verfeinern Sie die Filter, um den Prüfumfang einzugrenzen.
clash.results	Clash results	Результаты коллизий	Kollisionsergebnisse
clash.count_of	{{shown}} of {{total}}	{{shown}} из {{total}}	{{shown}} von {{total}}
clash.search_ph	Search element name…	Поиск по имени элемента…	Elementnamen suchen…
clash.all_types	All types	Все типы	Alle Typen
clash.type_hard	Hard	Жёсткая	Hart
clash.type_clearance	Clearance	По зазору	Mindestabstand
clash.export_sel	Export {{n}} to BCF	Экспортировать {{n}} в BCF	{{n}} nach BCF exportieren
clash.export_open	Export open → BCF	Экспорт открытых → BCF	Offene → BCF exportieren
clash.export_row	Export this clash to BCF	Экспортировать эту коллизию в BCF	Diese Kollision nach BCF exportieren
clash.filter_status	Status	Статус	Status
clash.filter_min_pen	Min penetration	Мин. проникновение	Min. Durchdringung
clash.clear_all	Clear all	Сбросить всё	Alle löschen
clash.col_a	Element A	Элемент A	Element A
clash.col_b	Element B	Элемент B	Element B
clash.col_type	Type	Тип	Typ
clash.col_penetration	Penetration	Проникновение	Durchdringung
clash.col_distance	Distance	Расстояние	Abstand
clash.col_status	Status	Статус	Status
clash.col_actions	Actions	Действия	Aktionen
clash.select_all	Select all on page	Выбрать всё на странице	Alle auf Seite auswählen
clash.select_row	Select clash	Выбрать коллизию	Kollision auswählen
clash.bcf	BCF	BCF	BCF
clash.isolate_3d	Isolate in 3D	Изолировать в 3D	In 3D isolieren
clash.isolate_3d_short	3D	3D	3D
clash.n_selected	{{n}} selected	выбрано: {{n}}	{{n}} ausgewählt
clash.clear_selection	Clear	Сбросить	Auswahl löschen
clash.clear_filter_short	Clear	Сбросить	Löschen
clash.page_range	{{from}}–{{to}} of {{total}}	{{from}}–{{to}} из {{total}}	{{from}}–{{to}} von {{total}}
clash.page_of	Page {{p}} / {{n}}	Стр. {{p}} / {{n}}	Seite {{p}} / {{n}}
clash.prev	Prev	Назад	Zurück
clash.next	Next	Далее	Weiter
clash.status.new	New	Новая	Neu
clash.status.active	Active	Активна	Aktiv
clash.status.reviewed	Reviewed	Просмотрена	Geprüft
clash.status.approved	Approved	Одобрена	Freigegeben
clash.status.resolved	Resolved	Устранена	Behoben
clash.status.ignored	Ignored	Проигнорирована	Ignoriert
pipeline.untitled	Untitled pipeline	Безымянный пайплайн	Unbenannte Pipeline
pipeline.empty.title	Build your first automation	Создайте свою первую автоматизацию	Erstellen Sie Ihre erste Automatisierung
pipeline.empty.description	Drag a trigger and a few steps from the palette on the left, connect them, then press Run.	Перетащите триггер и несколько шагов из палитры слева, соедините их и нажмите «Выполнить».	Ziehen Sie einen Auslöser und einige Schritte aus der Palette links auf die Fläche, verbinden Sie sie und drücken Sie Ausführen.
pipeline.toast.saved	Pipeline saved	Пайплайн сохранён	Pipeline gespeichert
pipeline.toast.save_failed	Could not save pipeline	Не удалось сохранить пайплайн	Pipeline konnte nicht gespeichert werden
pipeline.toast.run_failed	Could not start the run	Не удалось запустить выполнение	Lauf konnte nicht gestartet werden
pipeline.explain.coming_soon_title	Explain this pipeline	Объяснить этот пайплайн	Diese Pipeline erklären
pipeline.explain.coming_soon_body	The plain-language story view arrives in the next release.	Объяснение на естественном языке появится в следующем релизе.	Die Klartext-Erzählansicht kommt in der nächsten Version.
pipeline.tour.palette_title	Pick your steps	Выберите шаги	Wählen Sie Ihre Schritte
pipeline.tour.palette_body	Drag a step from here onto the canvas, or just click it to drop it in the middle.	Перетащите шаг отсюда на холст или просто нажмите на него, чтобы добавить в центр.	Ziehen Sie einen Schritt von hier auf die Fläche oder klicken Sie ihn an, um ihn in die Mitte zu setzen.
pipeline.tour.canvas_title	Connect the steps	Соедините шаги	Schritte verbinden
pipeline.tour.canvas_body	Drag from one step output dot to the next step input. Colours show the data type.	Тяните от точки выхода одного шага к точке входа следующего. Цвета показывают тип данных.	Ziehen Sie vom Ausgangspunkt eines Schritts zum Eingangspunkt des nächsten. Farben zeigen den Datentyp an.
pipeline.tour.run_title	Run it	Запустите	Ausführen
pipeline.tour.run_body	Press Run to execute the pipeline and watch each step light up live.	Нажмите «Выполнить», чтобы запустить пайплайн и видеть, как каждый шаг загорается в реальном времени.	Drücken Sie Ausführen, um die Pipeline auszuführen und jeden Schritt live aufleuchten zu sehen.
pipeline.toolbar.aria	Pipeline toolbar	Панель инструментов пайплайна	Pipeline-Symbolleiste
pipeline.toolbar.undo	Undo	Отменить	Rückgängig
pipeline.toolbar.redo	Redo	Повторить	Wiederherstellen
pipeline.toolbar.fit	Fit view	Вписать в окно	An Fenster anpassen
pipeline.toolbar.explain	Explain this pipeline	Объяснить этот пайплайн	Diese Pipeline erklären
pipeline.toolbar.issues	{{count}} issue(s)	проблем: {{count}}	{{count}} Problem(e)
pipeline.toolbar.save	Save	Сохранить	Speichern
pipeline.toolbar.run	Run	Выполнить	Ausführen
pipeline.toolbar.stop	Stop	Остановить	Stopp
pipeline.palette.title	Steps	Шаги	Schritte
pipeline.palette.aria	Node palette	Палитра узлов	Knoten-Palette
pipeline.palette.expand	Expand palette	Развернуть палитру	Palette erweitern
pipeline.palette.collapse	Collapse palette	Свернуть палитру	Palette einklappen
pipeline.palette.search	Search steps	Поиск шагов	Schritte suchen
pipeline.palette.search_ph	Search…	Поиск…	Suchen…
pipeline.palette.none	No step types available.	Нет доступных типов узлов.	Keine Knotentypen verfügbar.
pipeline.palette.module_chip	Touches the {{module}} module	Затрагивает модуль {{module}}	Betrifft das Modul {{module}}
pipeline.palette.writes	writes	пишет	schreibt
pipeline.palette.writes_chip	This step writes data — needs a gate before it	Этот шаг пишет данные — перед ним нужен gate	Dieser Schritt schreibt Daten — braucht ein Gate davor
pipeline.palette.cat_trigger	Sources / Triggers	Источники / Триггеры	Quellen / Auslöser
pipeline.palette.cat_source	Get data	Получить данные	Daten abrufen
pipeline.palette.cat_transform	Transform	Преобразовать	Transformieren
pipeline.palette.cat_gate	Validate	Валидация	Validieren
pipeline.palette.cat_ai	AI	ИИ	KI
pipeline.palette.cat_action	Actions / Outputs	Действия / Вывод	Aktionen / Ausgaben
pipeline.palette.cat_flow	Flow control	Управление потоком	Flusssteuerung
pipeline.inspector.aria	Inspector	Инспектор	Inspektor
pipeline.inspector.expand	Expand inspector	Развернуть инспектор	Inspektor erweitern
pipeline.inspector.collapse	Collapse inspector	Свернуть инспектор	Inspektor einklappen
pipeline.inspector.tab_node	Node	Узел	Knoten
pipeline.inspector.tab_pipeline	Pipeline	Пайплайн	Pipeline
pipeline.inspector.context_node	Editing step	Редактирование шага	Schritt bearbeiten
pipeline.inspector.context_pipeline	Editing pipeline	Редактирование пайплайна	Pipeline bearbeiten
pipeline.inspector.no_params	This step has no settings to configure.	У этого шага нет настраиваемых параметров.	Dieser Schritt hat keine konfigurierbaren Einstellungen.
pipeline.inspector.enabled	Enabled	Включён	Aktiviert
pipeline.inspector.choose	Choose…	Выбрать…	Auswählen…
pipeline.inspector.duplicate	Duplicate	Дублировать	Duplizieren
pipeline.inspector.delete	Delete	Удалить	Löschen
pipeline.inspector.name	Name	Название	Name
pipeline.inspector.name_ph	My automation	Моя автоматизация	Meine Automatisierung
pipeline.inspector.description	Description	Описание	Beschreibung
pipeline.inspector.published	Published (can be triggered)	Опубликован (можно запускать)	Veröffentlicht (kann ausgelöst werden)
pipeline.canvas.aria	Pipeline editor canvas	Холст редактора пайплайна	Pipeline-Editor-Fläche
pipeline.canvas.hint	Drag steps from the palette, connect their ports, then press Run.	Перетащите шаги из палитры, соедините их порты и нажмите «Выполнить».	Ziehen Sie Schritte aus der Palette, verbinden Sie ihre Ports und drücken Sie Ausführen.
pipeline.canvas.legend_sr	Edge colour, shape and dash together encode the data type.	Цвет, форма и штрих линии вместе кодируют тип данных.	Kantenfarbe, Form und Strich codieren gemeinsam den Datentyp.
pipeline.connect.incompatible_title	These steps can't be connected	Эти шаги нельзя соединить	Diese Schritte können nicht verbunden werden
pipeline.connect.incompatible_body	This output is a {{from}}; that input expects a {{to}}.	Этот выход — {{from}}; этот вход ожидает {{to}}.	Diese Ausgabe ist ein {{from}}; dieser Eingang erwartet ein {{to}}.
pipeline.node.rename	Rename node	Переименовать узел	Knoten umbenennen
pipeline.node.rename_hint	Double-click to rename	Двойной клик — переименовать	Doppelklick zum Umbenennen
pipeline.node.ai_badge	AI	ИИ	KI
pipeline.node.ai_confidence	AI suggestion — review the confidence score	Предложение ИИ — проверьте оценку уверенности	KI-Vorschlag — Konfidenzwert prüfen
pipeline.node.help	What this node does	Что делает этот узел	Was dieser Knoten tut
pipeline.node.help_generic	Configure this step in the Inspector. It receives data from the connected step before it and passes its result on.	Настройте этот шаг в инспекторе. Он принимает данные от предыдущего соединённого шага и передаёт результат дальше.	Konfigurieren Sie diesen Schritt im Inspektor. Er empfängt Daten vom verbundenen Schritt davor und gibt das Ergebnis weiter.
pipeline.node.collapse	Collapse	Свернуть	Einklappen
pipeline.node.expand	Expand	Развернуть	Erweitern
pipeline.node.more_params	+{{count}} more	+ещё {{count}}	+{{count}} mehr
pipeline.node.took_ms	{{ms}} ms	{{ms}} мс	{{ms}} ms
pipeline.port.aria_input	input: {{label}}, type {{type}}	вход: {{label}}, тип {{type}}	Eingang: {{label}}, Typ {{type}}
pipeline.port.aria_output	output: {{label}}, type {{type}}	выход: {{label}}, тип {{type}}	Ausgang: {{label}}, Typ {{type}}
pipeline.port.table	Table / rows	Таблица / строки	Tabelle / Zeilen
pipeline.port.file	File / document	Файл / документ	Datei / Dokument
pipeline.port.bim	BIM model	BIM-модель	BIM-Modell
pipeline.port.number	Number	Число	Zahl
pipeline.port.boolean	Boolean / flag	Булево / флаг	Boolean / Flag
pipeline.port.any	Any / passthrough	Любой / passthrough	Beliebig / Durchreichen
pipeline.port.error	Error branch	Ветка ошибок	Fehlerzweig
pipeline.dock.run	Run	Выполнить	Ausführen
pipeline.dock.expand	Expand run dock	Развернуть док запусков	Lauf-Dock erweitern
pipeline.dock.collapse	Collapse run dock	Свернуть док запусков	Lauf-Dock einklappen
pipeline.dock.idle	Idle	Бездействие	Leerlauf
pipeline.dock.progress	{{pct}}%	{{pct}}%	{{pct}}%
pipeline.dock.tab_run	Run	Запуск	Lauf
pipeline.dock.tab_history	History	История	Historie
pipeline.dock.no_steps	Add steps and press Run to watch data flow through your pipeline.	Добавьте шаги и нажмите «Выполнить», чтобы увидеть поток данных.	Fügen Sie Schritte hinzu und drücken Sie Ausführen, um den Datenfluss zu beobachten.
pipeline.dock.loading_history	Loading run history…	Загружаем историю запусков…	Lauf-Historie wird geladen…
pipeline.dock.no_runs_title	No runs yet	Запусков ещё не было	Noch keine Läufe
pipeline.dock.no_runs_desc	Press Run to see data flow through your pipeline.	Нажмите «Выполнить», чтобы увидеть поток данных через пайплайн.	Drücken Sie Ausführen, um den Datenfluss durch Ihre Pipeline zu sehen.
pipeline.dock.manual	Manual	Ручной	Manuell
pipeline.dock.queued_hint	Waiting for a worker to pick up the run…	Ожидание воркера, который возьмёт запуск в работу…	Warten auf einen Worker, der den Lauf übernimmt…
pipeline.runstatus.pending	Pending	Ожидает	Ausstehend
pipeline.runstatus.queued	Queued	В очереди	In Warteschlange
pipeline.runstatus.running	Running	Выполняется	Wird ausgeführt
pipeline.runstatus.started	Running	Выполняется	Wird ausgeführt
pipeline.runstatus.done	Done	Готово	Erledigt
pipeline.runstatus.success	Done	Готово	Erledigt
pipeline.runstatus.error	Error	Ошибка	Fehler
pipeline.runstatus.failed	Failed	Не удалось	Fehlgeschlagen
pipeline.runstatus.skipped	Skipped	Пропущен	Übersprungen
pipeline.runstatus.stale	Needs re-run	Нужен перезапуск	Erneut ausführen
pipeline.runstatus.paused	Paused	На паузе	Pausiert
pipeline.runstatus.cancelled	Cancelled	Отменён	Abgebrochen
pipeline.trigger.manual	Manual	Ручной	Manuell
pipeline.trigger.schedule	Scheduled	По расписанию	Geplant
pipeline.trigger.event	Event	По событию	Ereignis
pipeline.nodetype.trigger.manual	Manual trigger	Ручной триггер	Manueller Auslöser
pipeline.nodetype.trigger.manual.desc	Start the pipeline from a REST call. No inputs.	Запуск пайплайна REST-вызовом. Без входов.	Starten Sie die Pipeline über einen REST-Aufruf. Keine Eingänge.
pipeline.nodetype.source.project	Get project	Получить проект	Projekt abrufen
pipeline.nodetype.source.project.desc	Load the bound project's id + name.	Загружает id и название привязанного проекта.	Lädt die ID und den Namen des gebundenen Projekts.
pipeline.nodetype.source.boq	Get BOQ positions	Получить позиции BOQ	LV-Positionen abrufen
pipeline.nodetype.source.boq.desc	Load every BOQ position for the project as rows (ids + a small sample).	Загружает все позиции BOQ проекта как строки (id + небольшая выборка).	Lädt alle LV-Positionen des Projekts als Zeilen (IDs + kleine Stichprobe).
pipeline.nodetype.transform.filter	Filter rows	Фильтр строк	Zeilen filtern
pipeline.nodetype.transform.filter.desc	Keep only rows matching a simple field/op/value test.	Оставляет только строки, удовлетворяющие простому тесту поле/оператор/значение.	Behält nur Zeilen, die einem einfachen Feld/Operator/Wert-Test entsprechen.
pipeline.nodetype.gate.validation	Validation gate	Шлюз валидации	Validierungs-Gate
pipeline.nodetype.gate.validation.desc	Run the validation engine over the rows; stop the run on blocking errors.	Прогоняет движок валидации по строкам; останавливает запуск при блокирующих ошибках.	Führt die Validierungs-Engine über die Zeilen aus; stoppt den Lauf bei blockierenden Fehlern.
pipeline.nodetype.action.export.excel	Export to Excel	Экспорт в Excel	Excel-Export
pipeline.nodetype.action.export.excel.desc	Write the rows to an .xlsx file (returns a download reference; does not mutate the database).	Записывает строки в файл .xlsx (возвращает ссылку для скачивания; БД не изменяется).	Schreibt die Zeilen in eine .xlsx-Datei (gibt eine Download-Referenz zurück; verändert die Datenbank nicht).
pipeline.nodehelp.trigger.manual	This is where the pipeline begins. It carries no settings — connect it to a data step next.	Здесь начинается пайплайн. Без настроек — следующим шагом подключите получатель данных.	Hier beginnt die Pipeline. Keine Einstellungen — verbinden Sie sie als Nächstes mit einem Datenschritt.
pipeline.nodehelp.source.project	Loads the project this pipeline is bound to. Leave the project id blank to use the one from the page URL.	Загружает проект, к которому привязан этот пайплайн. Оставьте id пустым, чтобы взять его из URL страницы.	Lädt das Projekt, an das diese Pipeline gebunden ist. Lassen Sie die Projekt-ID leer, um die aus der Seiten-URL zu verwenden.
pipeline.nodehelp.source.boq	Reads every BOQ position for the project. Only ids and a small preview travel between steps; the full data stays on the server.	Читает все позиции BOQ проекта. Между шагами передаются только id и небольшая выборка; полные данные остаются на сервере.	Liest alle LV-Positionen des Projekts. Zwischen den Schritten werden nur IDs und eine kleine Vorschau übertragen; die vollständigen Daten bleiben auf dem Server.
pipeline.nodehelp.transform.filter	Keeps only the rows that match the field / operator / value test you set in the Inspector. Leave the field blank to pass everything through.	Оставляет только строки, удовлетворяющие тесту поле/оператор/значение, заданному в инспекторе. Пустое поле пропускает всё.	Behält nur Zeilen, die dem im Inspektor festgelegten Feld/Operator/Wert-Test entsprechen. Leeres Feld lässt alles durch.
pipeline.nodehelp.gate.validation	Runs the validation engine over the rows. If there are blocking errors the run stops here, so write steps after it never act on bad data.	Прогоняет движок валидации по строкам. При блокирующих ошибках запуск останавливается здесь, чтобы последующие шаги записи не работали с плохими данными.	Führt die Validierungs-Engine über die Zeilen aus. Bei blockierenden Fehlern stoppt der Lauf hier, damit nachgelagerte Schreibschritte nie auf fehlerhafte Daten wirken.
pipeline.nodehelp.action.export.excel	Writes the incoming rows to an Excel file and returns a download reference. It does not change any data.	Записывает входящие строки в файл Excel и возвращает ссылку на скачивание. Данные не меняет.	Schreibt die eingehenden Zeilen in eine Excel-Datei und gibt eine Download-Referenz zurück. Daten werden nicht verändert.
pipeline.param.source.project.project_id	Project id (optional)	ID проекта (необязательно)	Projekt-ID (optional)
pipeline.param.source.boq.project_id	Project id (optional)	ID проекта (необязательно)	Projekt-ID (optional)
pipeline.param.transform.filter.field	Field	Поле	Feld
pipeline.param.transform.filter.op	Operator	Оператор	Operator
pipeline.param.transform.filter.value	Value	Значение	Wert
pipeline.param.gate.validation.rule_sets	Rule sets	Наборы правил	Regelsätze
pipeline.param.action.export.excel.filename	File name	Имя файла	Dateiname
pipeline.param.action.export.excel.columns	Columns	Столбцы	Spalten
